,mnist_LeNet5,mnist_LeNet1,fashion_LeNet1,fashion_resNet20,cifar_vgg16,cifar_resNet20,svhn_LeNet5,svhn_vgg16,cifar100_resNet20,cifar100_resNet32,caltech_resNet20,caltech_resNet32
DeepDAC,52.775,52.925,58.15,55.325,58.175,67.425,66.5,53.352,66.55,67.525,70.988,68.364
DeepDiv,39.9,40.975,57.675,53.2,54.9,63.15,58.615,48.281,60.3,59.325,59.722,67.13
Gini,15.85,22.125,54.625,52.65,46.875,58.825,60.574,29.994,65.375,67.625,54.63,53.704
CES,9.775,8.2,17.125,18.75,22.85,31.6,19.285,16.615,45.575,47.025,33.488,33.333
LSA,33.85,34.075,26.425,31.175,21.325,21.825,25.903,8.807,33.475,38.65,39.815,36.42
MAX_P,16.8,23.05,56.675,52.325,45.725,58.125,58.605,31.128,67.95,68.775,56.327,56.327
var_rank,41.85,45.925,36.725,31.175,45.875,45.25,34.643,37.591,51.8,55.6,69.29,58.488
msp_gini,17.2,25,54.65,50.1,46.675,57.225,60.555,29.946,65.675,67.6,63.889,58.488
entrory_dropout_rank,15.8,23.6,48.475,46.6,45.625,57.7,54.437,30.58,64.5,66.8,51.08,58.333
CLUE_sample,20.6,24.075,25.225,21.575,32.9,41.2,33.951,17.749,53.55,54.025,53.395,42.901
NAC,10.75,11.525,20.8,19.675,16.65,30.525,18.805,9.796,43.9,44.675,26.543,23.302
NBC,8.65,11.025,18.775,18.925,15.975,28.025,20.342,10.853,42.25,42,29.63,30.247
SNAC,8.875,9.4,18.525,16.3,15.25,29.05,19.295,9.806,44.425,44.9,22.994,26.235
TKNC,11,9.7,21.475,20.2,23.95,29.775,19.775,11.919,45.475,46.7,39.815,36.883
Random,8.425,9.075,20.975,18.875,18.825,29.325,19.497,9.211,45.875,48.75,32.562,37.037
